query,candidate_doi,label,candidate_year,candidate_title,crossref_score,true_doi,candidate_rank,candidate_author,query_author,title_similarity,title_token_set_similarity,query_year,year_difference,first_author_similarity
Ways Of Depropriating Images Sónia Díaz 2025,10.12681/dac.39266,1,2025.0,Ways Of Depropriating Images,47.24243,10.12681/dac.39266,1,Sónia Díaz,,77.77777777777779,100.0,2025.0,0.0,30.76923076923077
Ways Of Depropriating Images Sónia Díaz 2025,10.21747/1647-4058/eling14_1a1,0,2025.0,Entrevista à Professora Doutora Sónia Frota,20.04995,10.12681/dac.39266,2,,,41.379310344827594,41.37931034482759,2025.0,0.0,100.0
Ways Of Depropriating Images Sónia Díaz 2025,10.35520/mulemba.2019.v11n20a23592,0,2019.0,Moçambique no feminino: as dimensões poéticas do corpo na poesia de Sónia Sultuane,19.161814,10.12681/dac.39266,3,Sávio Roberto Fonsêca de Freitas,,30.15873015873016,33.33333333333333,2025.0,6.0,11.428571428571432
Ways Of Depropriating Images Sónia Díaz 2025,10.5040/9780755621798.ch-029,0,2016.0,After-Images of Empire,18.554684,10.12681/dac.39266,4,,,33.333333333333336,33.33333333333333,2025.0,9.0,100.0
Ways Of Depropriating Images Sónia Díaz 2025,10.35520/mulemba.2024.v16n31e65364,0,2024.0,Dos encontros  poéticos na literatura moçambicana: relações intersemióticas entre Luís Bernardo Honwana e Sónia Sultuane,18.397041,10.12681/dac.39266,5,Sávio Roberto Fonsêca de Freitas,,24.5398773006135,29.447852760736197,2025.0,1.0,11.428571428571432
Ways Of Depropriating Images Sónia Díaz 2025,10.21203/rs.3.rs-7694436/v1,0,2025.0,Accelerated Border Tracking in Binary Images with GPUs,18.271881,10.12681/dac.39266,6,Pedro Alonso-Jordá,,36.73469387755102,38.775510204081634,2025.0,0.0,9.523809523809524
Ways Of Depropriating Images Sónia Díaz 2025,10.2307/359012,0,1994.0,"Women's Ways of Writing, or, Images, Self-Images, and Graven Images: Responses",18.161392,10.12681/dac.39266,7,James Moffett,,34.42622950819673,37.704918032786885,2025.0,31.0,12.5
Ways Of Depropriating Images Sónia Díaz 2025,10.2307/359011,0,1994.0,"Women's Ways of Writing, or, Images, Self-Images, and Graven Images",18.098476,10.12681/dac.39266,8,C. Jan Swearingen,,36.03603603603604,46.846846846846844,2025.0,31.0,30.000000000000004
Ways Of Depropriating Images Sónia Díaz 2025,10.52590/m3.p612.a30001094,0,2002.0,Adsorção do Violeta de Cristal em Areia,18.076601,10.12681/dac.39266,9,Sónia Sequeira,,28.915662650602414,28.915662650602414,2025.0,23.0,23.529411764705888
Ways Of Depropriating Images Sónia Díaz 2025,10.2139/ssrn.5385412,0,2025.0,Health and Digital Health Literacy and Self-Rated Health in Migrants Residing in Portugal,17.981943,10.12681/dac.39266,10,Ana Sá Machado,,25.563909774436087,28.57142857142857,2025.0,0.0,23.529411764705888
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.17116/rosstomat20251801140,1,2025.0,Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases,72.00615,10.17116/rosstomat20251801140,1,O.N. Risovannaya,,89.52380952380953,100.0,2025.0,0.0,21.052631578947366
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.37988/1811-153x_2019_1_28,0,2019.0,Clinical substantiation of complex application of antioxidants and laser therapy in treatment of periodontal diseases,42.97811,10.17116/rosstomat20251801140,2,Y.V. Maskurova,,51.50214592274678,57.142857142857146,2025.0,6.0,11.764705882352944
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.26226/morressier.5ac383262afeeb00097a42a7,0,2018.0,Photodynamic therapy in periodontics.,39.789993,10.17116/rosstomat20251801140,3,Olga Risovannaya,,40.52287581699346,42.5531914893617,2025.0,7.0,21.052631578947366
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.2174/221270380201160517190017,0,2016.0,Photodynamic Therapy and Periodontal Treatment,38.762688,10.17116/rosstomat20251801140,4,Pinar Gümüs,,35.802469135802475,36.477987421383645,2025.0,9.0,28.57142857142857
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/j.pdpdt.2025.104597,0,2025.0,Anti-inflammatory photodynamic activity of tetraphenyl-substituted porphyrin in J774.2 macrophage cells,36.15276,10.17116/rosstomat20251801140,5,Harika Topal Önal,,45.662100456621005,50.0,2025.0,0.0,19.999999999999996
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/j.pdpdt.2016.09.004,0,2016.0,Effect of photodynamic therapy and laser alone as adjunct to scaling and root planing on gingival crevicular fluid inflammatory proteins in periodontal disease: A systematic review,33.64208,10.17116/rosstomat20251801140,6,Zohaib Akram,,50.0,55.36332179930796,2025.0,9.0,13.33333333333333
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/j.pdpdt.2025.105112,0,2025.0,Enhanced Efficacy and Safety of Intra-Tissue Optical Fiber-Guided 5-Aminolevulinic Acid Photodynamic Therapy for Inflammatory Skin Diseases: Preclinical and Clinical Evidence,33.54391,10.17116/rosstomat20251801140,7,Wei Liu,,42.068965517241374,45.22968197879859,2025.0,0.0,0.0
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/j.pdpdt.2023.103362,0,2023.0,Effect of non-surgical periodontal therapy with adjunct photodynamic therapy on periodontal and glycemic statuses in prediabetic patients with periodontal disease,33.05179,10.17116/rosstomat20251801140,8,Bharathraj Shetty,,46.043165467625904,57.142857142857146,2025.0,2.0,9.999999999999998
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/j.pdpdt.2025.105071,0,2025.0,THE EFFECT AND MECHANISM OF PHOTODYNAMIC THERAPY IN ENHANCING ANTI-TUMOR IMMUNE RESPONSE IN GASTRIC CANCER,32.754852,10.17116/rosstomat20251801140,9,YANG YU,,13.513513513513509,12.962962962962962,2025.0,0.0,0.0
Substantiation of the anti-inflammatory effect of photodynamic therapy in periodontal diseases O.N. Risovannaya 2025,10.1016/s1572-1000(12)70049-2,0,2012.0,48 Anti-inflammatory and bactericidal action of LED medolight device at treatment of dental diseases,32.419453,10.17116/rosstomat20251801140,10,S.A. Gulyar,,40.74074074074075,50.476190476190474,2025.0,13.0,14.28571428571429
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1117/1.jrs.6.061505,1,2012.0,Fast motion detection from airborne videos using graphics processing unit,73.60914,10.1117/1.jrs.6.061505,1,Ben Ma,,92.40506329113924,100.0,2012.0,0.0,44.44444444444444
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1117/1.jrs.6.061504,0,2012.0,Fast supervised hyperspectral band selection using graphics processing unit,36.206913,10.1117/1.jrs.6.061505,2,Qian Du,,51.24999999999999,66.25,2012.0,0.0,40.0
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.5220/0003123401190124,0,2011.0,EFFECTIVE AND ACCELERATED INFORMATIVE FRAME FILTERING IN COLONOSCOPY VIDEOS USING GRAPHICS PROCESSING UNIT,34.282005,10.1117/1.jrs.6.061505,3,,,12.565445026178013,12.565445026178011,2012.0,1.0,100.0
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1109/mmsp.2012.6343435,0,2012.0,Motion robust rain detection and removal from videos,34.02363,10.1117/1.jrs.6.061505,4,Xinwei Xue,,55.47445255474452,57.534246575342465,2012.0,0.0,15.384615384615385
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1109/ncvpripg.2015.7489940,0,2015.0,Real time saliency detection in videos using Motion Field entropy,34.00981,10.1117/1.jrs.6.061505,5,Krishna Reddy Konda,,57.33333333333333,57.333333333333336,2012.0,3.0,27.27272727272727
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1109/pcspa.2010.27,0,2010.0,Fast Pedestrian Detection Using Slice-Based Motion Analysis,32.69727,10.1117/1.jrs.6.061505,6,Jingjing Yang,,47.22222222222222,48.611111111111114,2012.0,2.0,37.5
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.5815/ijigsp.2012.12.07,0,2012.0,Fast Width Detection in Corridor Using Hough Transform,32.691525,10.1117/1.jrs.6.061505,7,Mehrdad Javadi,,43.16546762589928,50.35971223021583,2012.0,0.0,11.764705882352944
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1364/ofc.2010.otud7,0,2010.0,Fast Implementation of the Split-Step Fourier Method using a Graphics Processing Unit,32.644947,10.1117/1.jrs.6.061505,8,Stephan Hellerbrand,,50.588235294117645,52.94117647058823,2012.0,2.0,27.27272727272727
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1109/ncvpripg.2011.31,0,2011.0,Interpolation Based Tracking for Fast Object Detection in Videos,32.313183,10.1117/1.jrs.6.061505,9,Rahul Jain,,46.97986577181208,51.006711409395976,2012.0,1.0,30.76923076923077
Fast motion detection from airborne videos using graphics processing unit Ben Ma 2012,10.1109/jdt.2012.2219498,0,2012.0,Fast 3D Computational Integral Imaging Using Graphics Processing Unit,31.868855,10.1117/1.jrs.6.061505,10,Faliu Yi,,50.64935064935065,55.84415584415584,2012.0,0.0,18.181818181818176
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.3109/02699052.2012.661118,1,2012.0,Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis,95.1301,10.3109/02699052.2012.661118,1,Ian J. Gill,,93.43629343629344,100.0,2012.0,0.0,28.57142857142857
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.4324/9780203712283-9,0,2018.0,Support Persons’ Perceptions of Giving Vocational Rehabilitation Support to Clients With Acquired Brain Injury in Sweden,49.926838,10.3109/02699052.2012.661118,2,Marie Matérne,,50.3875968992248,56.170212765957444,2012.0,6.0,25.0
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.1007/978-3-030-16613-7_9,0,2019.0,"Rehabilitation of Speech, Language, and Swallowing Disorders in Clients with Acquired Brain Injury",49.79876,10.3109/02699052.2012.661118,3,Deena Henderson,,46.61016949152542,49.7737556561086,2012.0,7.0,33.333333333333336
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.14264/uql.2018.774,0,,Client-centred goal setting in the rehabilitation of community dwelling clients with acquired brain injury,49.034664,10.3109/02699052.2012.661118,4,Sarah Prescott,,54.0983606557377,62.88209606986899,2012.0,,11.764705882352944
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.1891/9780826131379.0016,0,2016.0,Acquired Brain Injury Rehabilitation: Clinical Essentials,45.41824,10.3109/02699052.2012.661118,5,SILKE BERNERT,,41.02564102564102,43.333333333333336,2012.0,4.0,0.0
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.4324/9780429478468-9,0,2018.0,Vocational rehabilitation after acquired brain injury,45.289833,10.3109/02699052.2012.661118,6,Bernie Walsh,,43.97905759162304,80.89887640449439,2012.0,6.0,26.66666666666667
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.4324/9780429478468-8,0,2018.0,Driving after acquired brain injury: rehabilitation and therapy,44.601833,10.3109/02699052.2012.661118,7,Gavin Newby,,47.76119402985075,63.04347826086956,2012.0,6.0,28.57142857142857
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.1080/09638288.2017.1280542,0,2018.0,Patient perspectives on navigating the field of traumatic brain injury rehabilitation: a qualitative thematic analysis,44.31143,10.3109/02699052.2012.661118,8,Heidi J. Graff,,67.1875,70.53941908713693,2012.0,6.0,11.764705882352944
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.4324/9780203712283-4,0,2018.0,"Acquired Brain Injury, Parenting, Social Work, and Rehabilitation: Supporting Parents to Support Their Children",43.53958,10.3109/02699052.2012.661118,9,Mark Holloway,,46.58634538152611,47.00854700854701,2012.0,6.0,12.5
Clients’ perspectives of rehabilitation in one acquired brain injury residential rehabilitation unit: A thematic analysis Ian J. Gill 2012,10.1007/978-0-387-37575-5_11,0,,Balance and Vestibular Rehabilitation in the Patient with Acquired Brain Injury,43.217068,10.3109/02699052.2012.661118,10,JAMES MEGNA,,51.61290322580645,55.445544554455445,2012.0,,0.0
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1097/nmc.0000000000000067,1,2014.0,Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU,70.53075,10.1097/nmc.0000000000000067,1,Yuki Funaba,,89.57055214723927,100.0,2014.0,0.0,28.57142857142857
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610026673-ch05,0,2023.0,Your Preterm Baby,30.906498,10.1097/nmc.0000000000000067,2,,,22.429906542056077,38.095238095238095,2014.0,9.0,100.0
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610020497-ch05,0,2016.0,Your Preterm Baby,30.824726,10.1097/nmc.0000000000000067,3,,,22.429906542056077,38.095238095238095,2014.0,2.0,100.0
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610020497-ch07,0,2016.0,Feeding Your Baby,30.817146,10.1097/nmc.0000000000000067,4,,,22.429906542056077,38.095238095238095,2014.0,2.0,100.0
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610026673-ch07,0,2023.0,Feeding Your Baby,30.582054,10.1097/nmc.0000000000000067,5,,,22.429906542056077,38.095238095238095,2014.0,9.0,100.0
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610026673-ch11,0,2023.0,The Loss of Your Baby,30.139492,10.1097/nmc.0000000000000067,6,,,25.225225225225223,32.0,2014.0,9.0,100.0
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1542/9781610020497-ch11,0,2016.0,The Loss of Your Baby,29.986477,10.1097/nmc.0000000000000067,7,,,25.225225225225223,32.0,2014.0,2.0,100.0
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1891/9780826140128.0002,0,2018.0,Supporting High-Risk Pregnancy Bed-Rest Patients and Preparing Them for a Potential NICU Baby,29.227198,10.1097/nmc.0000000000000067,8,,,39.34426229508197,48.08743169398907,2014.0,4.0,100.0
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1037/e505762014-019,0,2014.0,Having a baby?,28.1189,10.1097/nmc.0000000000000067,9,Amy Novotney,,21.153846153846157,72.72727272727272,2014.0,0.0,13.33333333333333
Subsequent Pregnancy After Having a Baby Who Was Hospitalized in the NICU Yuki Funaba 2014,10.1186/s12884-021-03947-7,0,2021.0,“What kind of man gets depressed after having a baby?” Fathers’ experiences of mental health during the perinatal period,27.758207,10.1097/nmc.0000000000000067,10,Sarah Hambidge,,40.0,41.54589371980676,2014.0,7.0,11.764705882352944
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1007/bf00720965,1,1984.0,Relationship of the preexponential function in the equation of life to the length of the failure crack,74.50372,10.1007/bf00720965,1,G. M. Bartenev,,91.07142857142857,100.0,1984.0,0.0,23.529411764705888
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1007/bf00819313,0,1969.0,Integral-equation construction of the green's function for generalized boundary-value problems involving the heat-conduction equation,25.264803,10.1007/bf00720965,2,�. M. Kartashov,,47.843137254901954,51.502145922746784,1984.0,15.0,11.111111111111116
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1007/bf00020751,0,1984.0,A crack opening stress equation for fatigue crack growth,24.890299,10.1007/bf00720965,3,J. C. Newman,,44.9438202247191,48.05194805194805,1984.0,0.0,26.66666666666667
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1016/b978-008043011-9/50011-9,0,1999.0,Fatigue crack tip constraint and closure as a function of crack length,24.833961,10.1007/bf00720965,4,David L. Davidson,,42.708333333333336,55.95238095238095,1984.0,15.0,19.999999999999996
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1007/bf00554398,0,1995.0,Estimation of the preexponential factor in the equation for the rate of accumulation of submicron cracks in failure of polymers and polymer fibres,24.792566,10.1007/bf00720965,5,I. A. Stepanov,,61.940298507462686,63.47826086956522,1984.0,11.0,23.529411764705888
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1016/j.engfailanal.2017.04.025,0,2017.0,Correlation between defect depth and defect length through a reliability index when evaluating of the remaining life of steel pipeline under corrosion and crack defects,24.068504,10.1007/bf00720965,6,Djamel Zelmati,,49.6551724137931,48.83720930232558,1984.0,33.0,11.764705882352944
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1016/0029-5493(84)90271-1,0,1984.0,Variable crack length quarter-point element,23.869488,10.1007/bf00720965,7,Corneliu Manu,,35.151515151515156,43.63636363636363,1984.0,0.0,37.5
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1016/b978-1-4832-8440-8.50314-8,0,1984.0,AN EXAMINATION OF CRACK LENGTH ESTIMATION PROCEDURE FOR SHORT FIBRE COMPOSITES,23.869488,10.1007/bf00720965,8,B.S. Patro,,12.0,13.186813186813183,1984.0,0.0,15.384615384615385
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1016/b978-0-08-030156-3.50097-7,0,1984.0,APPLICATION OF LAGRANGE'S EQUATION TO CRACK PROPAGATION PROBLEMS,23.720207,10.1007/bf00720965,9,T. Shioya,,8.602150537634412,9.523809523809518,1984.0,0.0,16.666666666666664
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1007/bf01529549,0,1989.0,Stress concentration factor as a function of the length of cut in a rubberized-fabric material,23.554852,10.1007/bf00720965,10,G. M. Bartenev,,51.85185185185186,54.92227979274612,1984.0,5.0,23.529411764705888
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1007/s00391-021-01916-5,1,2021.0,Ein außergewöhnliches „Delirscreening“,59.01129,10.1007/s00391-021-01916-5,1,K. Singler,,82.6086956521739,100.0,2021.0,0.0,15.384615384615385
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1524/hzhz.2012.0599,0,2012.0,"Helmut Neumaier, Albrecht von Rosenberg. Ein außergewöhnliches Adelsleben unter drei habsburgischen Kaisern. Münster, Aschendorff 2011 Neumaier Helmut Albrecht von Rosenberg. Ein außergewöhnliches Adelsleben unter drei habsburgischen Kaisern. 2011 Aschendorff Münster € 29,–",27.54543,10.1007/s00391-021-01916-5,2,Mark Hengerer,,28.65853658536586,56.0,2021.0,9.0,25.0
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1515/prhz.1999.74.1.68,0,1999.0,Ein außergewöhnliches Steinzepter im östlichen Mittelmeer,25.713406,10.1007/s00391-021-01916-5,3,Hans-Günter Buchholz,,61.261261261261254,61.26126126126126,2021.0,22.0,17.391304347826086
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1002/stab.201710540,0,2017.0,Das neue Ottendorfer Viadukt – ein außergewöhnliches Bauvorhaben,25.032204,10.1007/s00391-021-01916-5,4,Elke Hering,,49.152542372881356,49.152542372881356,2021.0,4.0,14.28571428571429
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1007/bf02122665,0,1925.0,Ein außergewöhnliches experimentelles Teercarcinom beim Kaninchen,24.441872,10.1007/s00391-021-01916-5,5,Nina Krotkina,,57.14285714285714,58.8235294117647,2021.0,96.0,37.5
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.5771/9783845200545-45,0,2007.0,Nicht Sklave der Geschichte sein. Ein außergewöhnliches Interesse am Vergangenen stört manchmal die Gestaltung der Gegenwart,24.22504,10.1007/s00391-021-01916-5,6,Anastasia Ustinowa,,41.57303370786517,56.0,2021.0,14.0,28.57142857142857
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1007/s00391-021-01887-7,0,2021.0,„Die alte Niere“ – mehr als nur ein Organ,23.834236,10.1007/s00391-021-01916-5,7,Katrin Singler,,33.684210526315795,33.684210526315795,2021.0,0.0,23.529411764705888
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1055/s-0036-1575000,0,2008.0,Ein außergewöhnliches Jahr nähert sich seinem Ende,23.809177,10.1007/s00391-021-01916-5,8,Detlef Mostler,,61.53846153846154,61.53846153846154,2021.0,13.0,0.0
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1159/000277496,0,2010.0,Ein außergewöhnliches klinisches Erscheinungsbild beim einseitigen doppelten Harnleiter mit einem blinden Ende,23.59694,10.1007/s00391-021-01916-5,9,A. Gaca,,47.5609756097561,56.0,2021.0,11.0,19.999999999999996
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1515/jura-2017-0181,0,2017.0,Ein Dach über dem Kopf,23.302538,10.1007/s00391-021-01916-5,10,Philipp Singler,,28.947368421052634,28.94736842105263,2021.0,4.0,11.111111111111116
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.1272/jnms.67.330,1,2000.0,Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant.,58.578445,10.1272/jnms.67.330,1,Yoshio Shima,,90.42553191489363,100.0,2000.0,0.0,13.33333333333333
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.1542/peds.87.4.505,0,1991.0,"Failure to Detect Surfactant Protein-Specific Antibodies in Sera of Premature Infants Treated With Survanta, A Modified Bovine Surfactant",30.404858,10.1272/jnms.67.330,2,Jeffrey A. Whitsett,,51.66666666666666,56.76855895196506,2000.0,9.0,0.0
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.20944/preprints202312.0003.v1,0,2023.0,Advance Diagnostic of Respiratory Distress Syndrome in Premature Infants Treated with Surfactant and Budesonide through Computer-Assisted Chest X-ray Analysis,30.057205,10.1272/jnms.67.330,3,Tijana Prodanovic,,52.87356321839081,57.93103448275862,2000.0,23.0,30.000000000000004
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.22514/sv21.042007.5,0,2007.0,Surfactant administration in premature infants with RDS,28.78467,10.1272/jnms.67.330,4,,,43.0379746835443,43.037974683544306,2000.0,7.0,100.0
