query,candidate_doi,label,candidate_year,candidate_title,crossref_score,true_doi,candidate_rank,candidate_author,query_author
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1007/bf00020751,0,1984.0,A crack opening stress equation for fatigue crack growth,24.890299,10.1007/bf00720965,3,J. C. Newman,
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1016/b978-008043011-9/50011-9,0,1999.0,Fatigue crack tip constraint and closure as a function of crack length,24.833961,10.1007/bf00720965,4,David L. Davidson,
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1007/bf00554398,0,1995.0,Estimation of the preexponential factor in the equation for the rate of accumulation of submicron cracks in failure of polymers and polymer fibres,24.792566,10.1007/bf00720965,5,I. A. Stepanov,
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1016/j.engfailanal.2017.04.025,0,2017.0,Correlation between defect depth and defect length through a reliability index when evaluating of the remaining life of steel pipeline under corrosion and crack defects,24.068504,10.1007/bf00720965,6,Djamel Zelmati,
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1016/0029-5493(84)90271-1,0,1984.0,Variable crack length quarter-point element,23.869488,10.1007/bf00720965,7,Corneliu Manu,
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1016/b978-1-4832-8440-8.50314-8,0,1984.0,AN EXAMINATION OF CRACK LENGTH ESTIMATION PROCEDURE FOR SHORT FIBRE COMPOSITES,23.869488,10.1007/bf00720965,8,B.S. Patro,
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1016/b978-0-08-030156-3.50097-7,0,1984.0,APPLICATION OF LAGRANGE'S EQUATION TO CRACK PROPAGATION PROBLEMS,23.720207,10.1007/bf00720965,9,T. Shioya,
Relationship of the preexponential function in the equation of life to the length of the failure crack G. M. Bartenev 1984,10.1007/bf01529549,0,1989.0,Stress concentration factor as a function of the length of cut in a rubberized-fabric material,23.554852,10.1007/bf00720965,10,G. M. Bartenev,
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1007/s00391-021-01916-5,1,2021.0,Ein außergewöhnliches „Delirscreening“,59.01129,10.1007/s00391-021-01916-5,1,K. Singler,
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1524/hzhz.2012.0599,0,2012.0,"Helmut Neumaier, Albrecht von Rosenberg. Ein außergewöhnliches Adelsleben unter drei habsburgischen Kaisern. Münster, Aschendorff 2011 Neumaier Helmut Albrecht von Rosenberg. Ein außergewöhnliches Adelsleben unter drei habsburgischen Kaisern. 2011 Aschendorff Münster € 29,–",27.54543,10.1007/s00391-021-01916-5,2,Mark Hengerer,
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1515/prhz.1999.74.1.68,0,1999.0,Ein außergewöhnliches Steinzepter im östlichen Mittelmeer,25.713406,10.1007/s00391-021-01916-5,3,Hans-Günter Buchholz,
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1002/stab.201710540,0,2017.0,Das neue Ottendorfer Viadukt – ein außergewöhnliches Bauvorhaben,25.032204,10.1007/s00391-021-01916-5,4,Elke Hering,
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1007/bf02122665,0,1925.0,Ein außergewöhnliches experimentelles Teercarcinom beim Kaninchen,24.441872,10.1007/s00391-021-01916-5,5,Nina Krotkina,
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.5771/9783845200545-45,0,2007.0,Nicht Sklave der Geschichte sein. Ein außergewöhnliches Interesse am Vergangenen stört manchmal die Gestaltung der Gegenwart,24.22504,10.1007/s00391-021-01916-5,6,Anastasia Ustinowa,
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1007/s00391-021-01887-7,0,2021.0,„Die alte Niere“ – mehr als nur ein Organ,23.834236,10.1007/s00391-021-01916-5,7,Katrin Singler,
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1055/s-0036-1575000,0,2008.0,Ein außergewöhnliches Jahr nähert sich seinem Ende,23.809177,10.1007/s00391-021-01916-5,8,Detlef Mostler,
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1159/000277496,0,2010.0,Ein außergewöhnliches klinisches Erscheinungsbild beim einseitigen doppelten Harnleiter mit einem blinden Ende,23.59694,10.1007/s00391-021-01916-5,9,A. Gaca,
Ein außergewöhnliches „Delirscreening“ K. Singler 2021,10.1515/jura-2017-0181,0,2017.0,Ein Dach über dem Kopf,23.302538,10.1007/s00391-021-01916-5,10,Philipp Singler,
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.1272/jnms.67.330,1,2000.0,Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant.,58.578445,10.1272/jnms.67.330,1,Yoshio Shima,
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.1542/peds.87.4.505,0,1991.0,"Failure to Detect Surfactant Protein-Specific Antibodies in Sera of Premature Infants Treated With Survanta, A Modified Bovine Surfactant",30.404858,10.1272/jnms.67.330,2,Jeffrey A. Whitsett,
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.20944/preprints202312.0003.v1,0,2023.0,Advance Diagnostic of Respiratory Distress Syndrome in Premature Infants Treated with Surfactant and Budesonide through Computer-Assisted Chest X-ray Analysis,30.057205,10.1272/jnms.67.330,3,Tijana Prodanovic,
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.22514/sv21.042007.5,0,2007.0,Surfactant administration in premature infants with RDS,28.78467,10.1272/jnms.67.330,4,,
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.1186/isrctn64011614,0,2013.0,Surfactant application during spontaneous breathing in premature infants &lt;27 weeks,28.77135,10.1272/jnms.67.330,5,Angela Kribs,
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.3390/diagnostics14020214,0,2024.0,Advanced Diagnostics of Respiratory Distress Syndrome in Premature Infants Treated with Surfactant and Budesonide through Computer-Assisted Chest X-ray Analysis,28.674498,10.1272/jnms.67.330,6,Tijana Prodanovic,
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.1007/bf03307445,0,1986.0,Human Surfactant Benefits Pulmonary Function in Premature Infants,28.34888,10.1272/jnms.67.330,7,,
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.1055/s-2000-15292,0,2000.0,Effect of Surfactant Administration on Cerebral Haemodynamics and Oxygenation in Premature Infants - A Near Infrared Spectroscopy Study,27.891611,10.1272/jnms.67.330,8,Claudia Roll,
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.1203/00006450-199704001-01476,0,1997.0,Surfactant protein B and disaturated phosphatidylcholine levels in Survanta treated premature infants. 1457,27.84664,10.1272/jnms.67.330,9,Michael J. Antunes,
Clinicopathological Analysis of Premature Infants Treated with Artificial Surfactant. Yoshio Shima 2000,10.1016/s0020-7292(00)83095-7,0,2000.0,Biochemical and biophysical properties of lavage fluid from surfactant treated premature babies,27.775429,10.1272/jnms.67.330,10,A. Nikolov,
Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2 Jeetinder Kaur Makkar 2017,10.1213/ane.0000000000002391,1,2017.0,Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2,76.108345,10.1213/ane.0000000000002391,1,Jeetinder Kaur Makkar,
Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2 Jeetinder Kaur Makkar 2017,10.1213/ane.0000000000002390,0,2017.0,In Response: Concerns With Rate of Rise of Carbon Dioxide During Apnea With Buccal Oxygenation,34.279114,10.1213/ane.0000000000002391,2,Andrew J. Toner,
Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2 Jeetinder Kaur Makkar 2017,10.1016/j.gie.2020.03.1887,0,2020.0,Su1041 A TIME PERFORMANCE COMPARISON BETWEEN MODERATE AND DEEP SEDATION FOR SCREENING COLONOSCOPIES IN OBESE PATIENTS WITH OBSTRUCTIVE SLEEP APNEA,27.277681,10.1213/ane.0000000000002391,3,ivan M. columbus morales,
Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2 Jeetinder Kaur Makkar 2017,10.18535/jmscr/v5i1.161,0,2017.0,Risk of Failure of Adenotonsillectomy for Obstructive Sleep Apnea in Obese Pediatric Patients,27.000027,10.1213/ane.0000000000002391,4,,
Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2 Jeetinder Kaur Makkar 2017,10.1213/00000539-198802001-00222,0,1988.0,THE CO2 RATE OF RISE DURING APNEA IN ANESTHETIZED HUMANS WITH AIRWAY OBSTRUCTION,26.627539,10.1213/ane.0000000000002391,5,M. C. Stock,
Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2 Jeetinder Kaur Makkar 2017,10.3390/nu15204446,0,2023.0,The Influence of CPAP Therapy on Basal Metabolic Rate and Physical Activity in Obese Patients with Obstructive Sleep Apnea,26.101604,10.1213/ane.0000000000002391,6,Dimitra Siopi,
Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2 Jeetinder Kaur Makkar 2017,10.5005/jp/books/13026_67,0,2017.0,Metabolically Healthy Obese: A Myth or Reality?,25.642605,10.1213/ane.0000000000002391,7,Brij Makkar,
Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2 Jeetinder Kaur Makkar 2017,10.1016/j.sleep.2017.11.787,0,2017.0,Metabolic alterations and systemic inflammation in pediatric obese patients with obstructive sleep apnea,25.450947,10.1213/ane.0000000000002391,8,S. Prakash,
Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2 Jeetinder Kaur Makkar 2017,10.26226/morressier.59d51844d462b80296ca36bc,0,2017.0,Metabolic alterations in obese adults with obstructive sleep apnea,25.435299,10.1213/ane.0000000000002391,9,ben othman rym,
Prolongation of Apnea Time in Obese Patients—Concerns With Rate of Rise of CO2 Jeetinder Kaur Makkar 2017,10.1016/j.sleep.2017.11.549,0,2017.0,Percentage of apnea/hypopnea time from total sleep time varies significantly in patients with severe obstructive sleep apnea,25.272274,10.1213/ane.0000000000002391,10,T. Leppänen,
The Opioid Abuse Blame Game Arthur G. Lipman 2016,10.3109/15360288.2015.1137379,1,2016.0,The Opioid Abuse Blame Game,46.924488,10.3109/15360288.2015.1137379,1,Arthur G. Lipman,
The Opioid Abuse Blame Game Arthur G. Lipman 2016,10.3109/15360288.2014.1004012,0,2015.0,"Opioid Abuse, Politicians and Blame",35.15933,10.3109/15360288.2015.1137379,2,Arthur G. Lipman,
The Opioid Abuse Blame Game Arthur G. Lipman 2016,10.5055/jom.2016.0346,0,2016.0,FDA and Abuse Deterrent Opioids: Don’t fix the blame. Fix the problem,31.252968,10.3109/15360288.2015.1137379,3,Peter J. Pitts,
