query,source,candidate_id,label,candidate_year,candidate_title,true_id,candidate_rank,candidate_author,query_author,journal,title_similarity,title_token_set_similarity,query_year,year_difference,first_author_similarity
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,1,2012.0,Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,1,Никулина Юлия Александровна,Никулина Юлия Александровна,Юридическая наука,100.0,100.0,,,100.0
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/o-realizatsii-demograficheskoy-politiki-na-regionalnom-urovne,0,2014.0,О реализации демографической политики на региональном уровне,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,2,Нимгиров А. Г.,Никулина Юлия Александровна,Вестник Института комплексных исследований аридных территорий,45.55555555555556,57.142857142857146,,,24.390243902439025
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/kontseptsiya-demograficheskoy-politiki-rf-do-2015-goda,0,2007.0,Концепция демографической политики РФ до 2015 года,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,3,Ефремова О. С.,Никулина Юлия Александровна,Саратовский научно-медицинский журнал,40.0,64.86486486486487,,,29.268292682926834
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/ob-otsenke-effektivnosti-upravleniya-obschestvennym-zdoroviem,0,2015.0,Об оценке эффективности управления общественным здоровьем,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,4,Калачикова О. Н.,Никулина Юлия Александровна,«ЭКО». Всероссийский экономический журнал,32.7683615819209,32.7683615819209,,,37.2093023255814
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/k-voprosu-o-neobhodimosti-stanovleniya-i-razvitiya-pravovogo-regulirovaniya-demograficheskih-protsessov-na-regionalnom-urovne,0,2007.0,К вопросу о необходимости становления и развития правового регулирования демографических процессов на региональном уровне,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,5,Тимофеева Татьяна Федоровна,Никулина Юлия Александровна,Вестник Чувашского университета,46.47302904564315,46.47302904564315,,,29.629629629629626
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/funktsii-i-zadachi-organov-gosudarstvennoy-i-munitsipalnoy-vlasti-v-sisteme-upravleniya-demograficheskimi-protsessami,0,2017.0,ФУНКЦИИ И ЗАДАЧИ ОРГАНОВ ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ ВЛАСТИ В СИСТЕМЕ УПРАВЛЕНИЯ ДЕМОГРАФИЧЕСКИМИ ПРОЦЕССАМИ,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,6,Варыгина А. С.,Никулина Юлия Александровна,Экономика и социум,11.206896551724132,10.434782608695656,,,34.14634146341463
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/sovershenstvovanie-gosudarstvennoy-politiki-v-oblasti-vyvoda-rossii-iz-demograficheskogo-krizisa,0,2015.0,СОВЕРШЕНСТВОВАНИЕ ГОСУДАРСТВЕННОЙ ПОЛИТИКИ В ОБЛАСТИ ВЫВОДА РОССИИ ИЗ ДЕМОГРАФИЧЕСКОГО КРИЗИСА,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,7,Гарифуллина А. Ф.,Никулина Юлия Александровна,Экономика и социум,9.345794392523366,9.34579439252336,,,45.45454545454546
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/demograficheskaya-politika-belarusi-i-rossii-v-kontekste-povysheniya-kachestva-zhizni-naseleniya,0,2011.0,Демографическая политика Беларуси и России в контексте повышения качества жизни населения,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,8,Сечко Н. Н.,Никулина Юлия Александровна,Социологический альманах,43.0622009569378,45.933014354066984,,,15.789473684210531
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/demograficheskaya-funktsiya-gosudarstva-soderzhanie-formy-i-metody-osuschestvleniya-teoretiko-pravovye-aspekty,0,2011.0,"Демографическая функция государства: содержание, формы и методы осуществления (теоретико-правовые аспекты)",/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,9,Никулина Юлия Александровна,Никулина Юлия Александровна,Вестник Санкт-Петербургского университета МВД России,43.36283185840708,43.36283185840708,,,100.0
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/pravovye-osnovy-sotsialno-demograficheskoy-politiki-v-respublike-kalmykiya,0,2012.0,Правовые основы социально-демографической политики в Республике Калмыкия,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,10,Гунаев Е. А.,Никулина Юлия Александровна,Oriental Studies,43.75,45.833333333333336,,,30.76923076923077
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,1,2011.0,Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,1,Родоман Владимир Евгеньевич,Родоман Владимир Евгеньевич,Вестник Российского научного центра рентгенорадиологии Минздрава России,100.0,100.0,,,100.0
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/pielonefrit-u-detey-rannego-vozrasta-sovremennye-podhody-k-diagnostike-i-lecheniyu,0,2012.0,Пиелонефрит у детей раннего возраста: современные подходы к диагностике и лечению,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,2,Сафина А. И.,Родоман Владимир Евгеньевич,Практическая медицина,35.74144486692015,36.015325670498086,,,20.512820512820518
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/mesto-tsefalosporinov-v-terapii-infektsiy-mochevyvodyaschih-putey-u-detey,0,2012.0,Место цефалоспоринов в терапии инфекций мочевыводящих путей у детей,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,3,Чащина Ирина Леонидовна,Родоман Владимир Евгеньевич,Вопросы современной педиатрии,29.718875502008036,29.959514170040492,,,36.0
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/mesto-nitrofuranov-v-sovremennoy-terapii-infektsiy-mochevyh-putey,0,2006.0,Место нитрофуранов в современной терапии инфекций мочевых путей,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,4,Смирнов А. В.,Родоман Владимир Евгеньевич,Нефрология,29.387755102040813,29.629629629629633,,,30.000000000000004
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/sravnitelnaya-otsenka-rezultatov-konservativnogo-i-hirurgicheskogo-metodov-lecheniya-detey-s-destruktivnymi-formami-pielonefrita,0,2021.0,СРАВНИТЕЛЬНАЯ ОЦЕНКА РЕЗУЛЬТАТОВ КОНСЕРВАТИВНОГО И ХИРУРГИЧЕСКОГО МЕТОДОВ ЛЕЧЕНИЯ ДЕТЕЙ С ДЕСТРУКТИВНЫМИ ФОРМАМИ ПИЕЛОНЕФРИТА,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,5,Кузовлева Галина Игоревна,Родоман Владимир Евгеньевич,"Российский вестник детской хирургии, анестезиологии и реаниматологии",7.817589576547235,7.868852459016395,,,34.61538461538461
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/infektsii-mochevyvodyaschih-putey-etiologiya-patogenez-epidemiologiya-faktory-riska-diagnostika-lektsiya-i-chast,0,2016.0,"Инфекции мочевыводящих путей (этиология, патогенез, эпидемиология, факторы риска, диагностика). Лекция. I часть",/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,6,Крутиков Е. С.,Родоман Владимир Евгеньевич,Таврический медико-биологический вестник,34.129692832764505,34.364261168384886,,,14.634146341463417
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/evolyutsiya-predstavleniy-o-mehanizmah-razvitiya-i-lecheniya-vtorichnogo-pielonefrita-u-detey-obzor,0,2017.0,Эволюция представлений о механизмах развития и лечения вторичного пиелонефрита у детей (обзор),/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,7,Разин Максим Петрович,Родоман Владимир Евгеньевич,Вятский медицинский вестник,43.47826086956522,46.715328467153284,,,50.0
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/materialy-4-y-nauchno-prakticheskoy-konferentsii-urologov-severo-zapadnogo-federalnogo-okruga-rossiyskoy-federatsii,0,2018.0,Материалы 4-й научно-практической конференции урологов Северо-Западного федерального округа Российской Федерации,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,8,,Родоман Владимир Евгеньевич,Урологические ведомости,37.414965986394556,37.67123287671233,,,0.0
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/klinicheskaya-farmakologiya-i-lekarstvennoe-obespechenie,0,2011.0,Клиническая фармакология и лекарственное обеспечение,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,9,,Родоман Владимир Евгеньевич,Ремедиум. Журнал о российском рынке лекарств и медицинской технике,29.059829059829056,29.310344827586206,,,0.0
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/nauchno-prakticheskaya-konferentsiya-po-meditsinskoy-mikologii-xii-kashkinskie-chteniya-tezisy-dokladov,0,2009.0,Научно-практическая конференция по медицинской микологии (XII кашкинские чтения). Тезисы докладов,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,10,,Родоман Владимир Евгеньевич,Проблемы медицинской микологии,33.69175627240143,33.935018050541515,,,0.0
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,1,2012.0,Критерии эффективности управления организацией как социальной системой,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,1,Панамарева Олеся Николаевна,Панамарева Олеся Николаевна,"Общество: политика, экономика, право",100.0,100.0,,,100.0
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/metodologicheskie-podhody-k-ponyatiyu-effektivnosti-upravleniya-organizatsiey,0,2010.0,Методологические подходы к понятию эффективности управления организацией,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,2,Борисова Л. А.,Панамарева Олеся Николаевна,Аграрный вестник Урала,67.6056338028169,69.1588785046729,,,24.390243902439025
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/soderzhanie-sistemy-upravleniya-sotsialno-ekonomicheskimi-vzaimodeystviyami-v-munitsipalnom-obrazovanii,0,2012.0,Содержание системы управления социально-экономическими взаимодействиями в муниципальном образовании,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,3,Блягоз Заурбий Зулькаринович,Панамарева Олеся Николаевна,Новые технологии,49.70414201183432,56.80473372781065,,,25.454545454545453
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/otsenka-sotsialnoy-effektivnosti-deyatelnosti-hozyaystvuyuschego-subekta,0,2023.0,Оценка социальной эффективности деятельности хозяйствующего субъекта,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,4,Рассказов Андрей Григорьевич,Панамарева Олеся Николаевна,Экономический вестник Донбасского государственного технического университета,55.072463768115945,56.52173913043478,,,29.09090909090909
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/kompleksnaya-metodika-otsenki-effektivnosti-strategicheskogo-upravleniya-razvitiem-selskohozyaystvennoy-organizatsii,0,2015.0,Комплексная методика оценки эффективности стратегического управления развитием сельскохозяйственной организации,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,5,Трунова Светлана Николаевна,Панамарева Олеся Николаевна,Технологии пищевой и перерабатывающей промышленности АПК – продукты здорового питания,59.66850828729282,59.668508287292816,,,66.66666666666667
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/otsenka-kachestva-i-effektivnosti-upravleniya-predpriyatiem-i-personalom,0,2016.0,Оценка качества и эффективности управления предприятием и персоналом,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,6,Новокупова Ирина Николаевна,Панамарева Олеся Николаевна,Вестник евразийской науки,57.971014492753625,58.8235294117647,,,48.14814814814815
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/psihologicheskie-determinanty-upravleniya-personalom-v-sovremennoy-krizisnoy-kommercheskoy-organizatsii,0,2017.0,Психологические детерминанты управления персоналом в современной кризисной коммерческой организации,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,7,Никольченко Татьяна Алексеевна,Панамарева Олеся Николаевна,Акмеология,46.15384615384615,48.5207100591716,,,42.10526315789473
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/gosudarstvennoe-upravlenie-otraslevoy-nedvizhimostyu,0,2024.0,Государственное управление отраслевой недвижимостью,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,8,Кудж Станислав Алексеевич,Панамарева Олеся Николаевна,E-Management,42.97520661157025,42.97520661157025,,,34.61538461538461
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/analiticheskoe-obosnovanie-vybora-kriteriev-effektivnosti-i-znachimyh-faktorov-uspeha-vnedreniya-proektnogo-upravleniya,0,2024.0,АНАЛИТИЧЕСКОЕ ОБОСНОВАНИЕ ВЫБОРА КРИТЕРИЕВ ЭФФЕКТИВНОСТИ И ЗНАЧИМЫХ ФАКТОРОВ УСПЕХА ВНЕДРЕНИЯ ПРОЕКТНОГО УПРАВЛЕНИЯ,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,9,Н. А. Чернуха,Панамарева Олеся Николаевна,Вестник Академии знаний,7.567567567567568,7.567567567567565,,,25.0
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/otsenka-effektivnosti-meropriyatiy-po-sovershenstvovaniyu-sistemy-upravleniya-personalom,0,2016.0,ОЦЕНКА ЭФФЕКТИВНОСТИ МЕРОПРИЯТИЙ ПО СОВЕРШЕНСТВОВАНИЮ СИСТЕМЫ УПРАВЛЕНИЯ ПЕРСОНАЛОМ,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,10,Марченко Н. В.,Панамарева Олеся Николаевна,Вестник Сибирского государственного университета путей сообщения,9.150326797385622,9.150326797385617,,,19.512195121951216
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,1,2012.0,Концепция оценки сбалансированности кругооборота капитала в современных условиях,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,1,Соляник Григорий Павлович,Соляник Григорий Павлович,"Общество: политика, экономика, право",100.0,100.0,,,100.0
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/kontseptsiya-otsenki-resursnoy-sbalansirovannosti-proizvodstva,0,2012.0,Концепция оценки ресурсной сбалансированности производства,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,2,Соляник Григорий Павлович,Соляник Григорий Павлович,"Общество: политика, экономика, право",57.971014492753625,75.26881720430107,,,100.0
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/keynsianskiy-analiz-formirovaniya-sberezheniy-v-sovremennyh-ekonomikah,0,2014.0,Кейнсианский анализ формирования сбережений в современных экономиках,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,3,Рудяков Василий Анатольевич,Соляник Григорий Павлович,Ученые записки Санкт-Петербургского университета технологий управления и экономики,44.5945945945946,52.7027027027027,,,34.61538461538461
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/analiz-sbalansirovannosti-pokazateley-razvitiya-organizatsii-v-strukturnom-i-vremennom-aspektah,0,2009.0,Анализ сбалансированности показателей развития организации в структурном и временном аспектах,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,4,Фомин В. П.,Соляник Григорий Павлович,Экономический анализ: теория и практика,47.398843930635834,50.86705202312139,,,27.77777777777778
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/usloviya-dinamicheskogo-sostoyaniya-sbalansirovannosti-rynochnogo-segmenta-natsionalnoy-finansovo-ekonomicheskoy-sistemy,0,2017.0,Условия динамического состояния сбалансированности рыночного сегмента национальной финансово-экономической системы,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,5,Чувелева Елена Анатольевна,Соляник Григорий Павлович,Известия Дальневосточного федерального университета. Экономика и управление,46.391752577319586,48.45360824742268,,,23.529411764705888
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/formirovanie-strategii-upravleniya-amortizatsionnym-resursom-predpriyatiya,0,2014.0,Формирование стратегии управления амортизационным ресурсом предприятия,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,6,Егорова Н. Н.,Соляник Григорий Павлович,Новый университет. Серия «Экономика и право»,36.0,36.0,,,31.57894736842105
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/primenenie-mirovogo-opyta-analiza-i-prognozirovaniya-pokazateley-v-deyatelnosti-torgovyh-organizatsiy-pridnestrovya,0,2015.0,ПРИМЕНЕНИЕ МИРОВОГО ОПЫТА АНАЛИЗА И ПРОГНОЗИРОВАНИЯ ПОКАЗАТЕЛЕЙ В ДЕЯТЕЛЬНОСТИ ТОРГОВЫХ ОРГАНИЗАЦИЙ ПРИДНЕСТРОВЬЯ,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,7,Муравьева Наталья Юрьевна,Соляник Григорий Павлович,Национальная ассоциация ученых,7.253886010362698,7.253886010362692,,,31.999999999999996
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/finansovo-ekonomicheskoe-neravnovesie-prichina-i-spetsifika-proyavleniya,0,2018.0,Финансово-экономическое неравновесие: причина и специфика проявления,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,8,Чувелева Елена Анатольевна,Соляник Григорий Павлович,Национальная безопасность / nota bene,33.78378378378378,33.78378378378379,,,23.529411764705888
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/reproduktivnyy-trud-kak-instrument-rosta-natsionalnoy-ekonomiki,0,2013.0,Репродуктивный труд как инструмент роста национальной экономики,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,9,Великая Е. Г.,Соляник Григорий Павлович,Национальные интересы: приоритеты и безопасность,36.36363636363637,36.36363636363637,,,15.789473684210531
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/ustoychivost-ekonomicheskogo-razvitiya-regiona-teoreticheskie-osnovy-i-metodologiya-otsenki,0,2013.0,Устойчивость экономического развития региона: теоретические основы и методология оценки,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,10,Лебедефф-Донской М. М.,Соляник Григорий Павлович,Экономика и управление в XXI веке: тенденции развития,38.32335329341318,39.52095808383233,,,17.021276595744684
