query,source,candidate_id,label,candidate_year,candidate_title,true_id,candidate_rank,candidate_author,query_author,journal
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/kontseptsiya-demograficheskoy-politiki-rf-do-2015-goda,0,2007.0,Концепция демографической политики РФ до 2015 года,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,3,Ефремова О. С.,Никулина Юлия Александровна,Саратовский научно-медицинский журнал
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/ob-otsenke-effektivnosti-upravleniya-obschestvennym-zdoroviem,0,2015.0,Об оценке эффективности управления общественным здоровьем,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,4,Калачикова О. Н.,Никулина Юлия Александровна,«ЭКО». Всероссийский экономический журнал
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/k-voprosu-o-neobhodimosti-stanovleniya-i-razvitiya-pravovogo-regulirovaniya-demograficheskih-protsessov-na-regionalnom-urovne,0,2007.0,К вопросу о необходимости становления и развития правового регулирования демографических процессов на региональном уровне,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,5,Тимофеева Татьяна Федоровна,Никулина Юлия Александровна,Вестник Чувашского университета
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/funktsii-i-zadachi-organov-gosudarstvennoy-i-munitsipalnoy-vlasti-v-sisteme-upravleniya-demograficheskimi-protsessami,0,2017.0,ФУНКЦИИ И ЗАДАЧИ ОРГАНОВ ГОСУДАРСТВЕННОЙ И МУНИЦИПАЛЬНОЙ ВЛАСТИ В СИСТЕМЕ УПРАВЛЕНИЯ ДЕМОГРАФИЧЕСКИМИ ПРОЦЕССАМИ,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,6,Варыгина А. С.,Никулина Юлия Александровна,Экономика и социум
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/sovershenstvovanie-gosudarstvennoy-politiki-v-oblasti-vyvoda-rossii-iz-demograficheskogo-krizisa,0,2015.0,СОВЕРШЕНСТВОВАНИЕ ГОСУДАРСТВЕННОЙ ПОЛИТИКИ В ОБЛАСТИ ВЫВОДА РОССИИ ИЗ ДЕМОГРАФИЧЕСКОГО КРИЗИСА,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,7,Гарифуллина А. Ф.,Никулина Юлия Александровна,Экономика и социум
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/demograficheskaya-politika-belarusi-i-rossii-v-kontekste-povysheniya-kachestva-zhizni-naseleniya,0,2011.0,Демографическая политика Беларуси и России в контексте повышения качества жизни населения,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,8,Сечко Н. Н.,Никулина Юлия Александровна,Социологический альманах
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/demograficheskaya-funktsiya-gosudarstva-soderzhanie-formy-i-metody-osuschestvleniya-teoretiko-pravovye-aspekty,0,2011.0,"Демографическая функция государства: содержание, формы и методы осуществления (теоретико-правовые аспекты)",/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,9,Никулина Юлия Александровна,Никулина Юлия Александровна,Вестник Санкт-Петербургского университета МВД России
Правовые средства обеспечения демографической политики Российской Федерации в области увеличения продолжительности жизни,cyberleninka,/article/n/pravovye-osnovy-sotsialno-demograficheskoy-politiki-v-respublike-kalmykiya,0,2012.0,Правовые основы социально-демографической политики в Республике Калмыкия,/article/n/pravovye-sredstva-obespecheniya-demograficheskoy-politiki-rossiyskoy-federatsii-v-oblasti-uvelicheniya-prodolzhitelnosti-zhizni,10,Гунаев Е. А.,Никулина Юлия Александровна,Oriental Studies
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,1,2011.0,Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,1,Родоман Владимир Евгеньевич,Родоман Владимир Евгеньевич,Вестник Российского научного центра рентгенорадиологии Минздрава России
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/pielonefrit-u-detey-rannego-vozrasta-sovremennye-podhody-k-diagnostike-i-lecheniyu,0,2012.0,Пиелонефрит у детей раннего возраста: современные подходы к диагностике и лечению,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,2,Сафина А. И.,Родоман Владимир Евгеньевич,Практическая медицина
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/mesto-tsefalosporinov-v-terapii-infektsiy-mochevyvodyaschih-putey-u-detey,0,2012.0,Место цефалоспоринов в терапии инфекций мочевыводящих путей у детей,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,3,Чащина Ирина Леонидовна,Родоман Владимир Евгеньевич,Вопросы современной педиатрии
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/mesto-nitrofuranov-v-sovremennoy-terapii-infektsiy-mochevyh-putey,0,2006.0,Место нитрофуранов в современной терапии инфекций мочевых путей,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,4,Смирнов А. В.,Родоман Владимир Евгеньевич,Нефрология
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/sravnitelnaya-otsenka-rezultatov-konservativnogo-i-hirurgicheskogo-metodov-lecheniya-detey-s-destruktivnymi-formami-pielonefrita,0,2021.0,СРАВНИТЕЛЬНАЯ ОЦЕНКА РЕЗУЛЬТАТОВ КОНСЕРВАТИВНОГО И ХИРУРГИЧЕСКОГО МЕТОДОВ ЛЕЧЕНИЯ ДЕТЕЙ С ДЕСТРУКТИВНЫМИ ФОРМАМИ ПИЕЛОНЕФРИТА,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,5,Кузовлева Галина Игоревна,Родоман Владимир Евгеньевич,"Российский вестник детской хирургии, анестезиологии и реаниматологии"
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/infektsii-mochevyvodyaschih-putey-etiologiya-patogenez-epidemiologiya-faktory-riska-diagnostika-lektsiya-i-chast,0,2016.0,"Инфекции мочевыводящих путей (этиология, патогенез, эпидемиология, факторы риска, диагностика). Лекция. I часть",/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,6,Крутиков Е. С.,Родоман Владимир Евгеньевич,Таврический медико-биологический вестник
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/evolyutsiya-predstavleniy-o-mehanizmah-razvitiya-i-lecheniya-vtorichnogo-pielonefrita-u-detey-obzor,0,2017.0,Эволюция представлений о механизмах развития и лечения вторичного пиелонефрита у детей (обзор),/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,7,Разин Максим Петрович,Родоман Владимир Евгеньевич,Вятский медицинский вестник
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/materialy-4-y-nauchno-prakticheskoy-konferentsii-urologov-severo-zapadnogo-federalnogo-okruga-rossiyskoy-federatsii,0,2018.0,Материалы 4-й научно-практической конференции урологов Северо-Западного федерального округа Российской Федерации,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,8,,Родоман Владимир Евгеньевич,Урологические ведомости
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/klinicheskaya-farmakologiya-i-lekarstvennoe-obespechenie,0,2011.0,Клиническая фармакология и лекарственное обеспечение,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,9,,Родоман Владимир Евгеньевич,Ремедиум. Журнал о российском рынке лекарств и медицинской технике
Значение определения возбудителя заболевания острого необструктивного пиелонефрита и его устойчивости к антибактериальным препаратам для результатов лечения и возникновения рецидивов,cyberleninka,/article/n/nauchno-prakticheskaya-konferentsiya-po-meditsinskoy-mikologii-xii-kashkinskie-chteniya-tezisy-dokladov,0,2009.0,Научно-практическая конференция по медицинской микологии (XII кашкинские чтения). Тезисы докладов,/article/n/znachenie-opredeleniya-vozbuditelya-zabolevaniya-ostrogo-neobstruktivnogo-pielonefrita-i-ego-ustoychivosti-k-antibakterialnym,10,,Родоман Владимир Евгеньевич,Проблемы медицинской микологии
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,1,2012.0,Критерии эффективности управления организацией как социальной системой,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,1,Панамарева Олеся Николаевна,Панамарева Олеся Николаевна,"Общество: политика, экономика, право"
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/metodologicheskie-podhody-k-ponyatiyu-effektivnosti-upravleniya-organizatsiey,0,2010.0,Методологические подходы к понятию эффективности управления организацией,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,2,Борисова Л. А.,Панамарева Олеся Николаевна,Аграрный вестник Урала
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/soderzhanie-sistemy-upravleniya-sotsialno-ekonomicheskimi-vzaimodeystviyami-v-munitsipalnom-obrazovanii,0,2012.0,Содержание системы управления социально-экономическими взаимодействиями в муниципальном образовании,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,3,Блягоз Заурбий Зулькаринович,Панамарева Олеся Николаевна,Новые технологии
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/otsenka-sotsialnoy-effektivnosti-deyatelnosti-hozyaystvuyuschego-subekta,0,2023.0,Оценка социальной эффективности деятельности хозяйствующего субъекта,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,4,Рассказов Андрей Григорьевич,Панамарева Олеся Николаевна,Экономический вестник Донбасского государственного технического университета
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/kompleksnaya-metodika-otsenki-effektivnosti-strategicheskogo-upravleniya-razvitiem-selskohozyaystvennoy-organizatsii,0,2015.0,Комплексная методика оценки эффективности стратегического управления развитием сельскохозяйственной организации,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,5,Трунова Светлана Николаевна,Панамарева Олеся Николаевна,Технологии пищевой и перерабатывающей промышленности АПК – продукты здорового питания
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/otsenka-kachestva-i-effektivnosti-upravleniya-predpriyatiem-i-personalom,0,2016.0,Оценка качества и эффективности управления предприятием и персоналом,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,6,Новокупова Ирина Николаевна,Панамарева Олеся Николаевна,Вестник евразийской науки
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/psihologicheskie-determinanty-upravleniya-personalom-v-sovremennoy-krizisnoy-kommercheskoy-organizatsii,0,2017.0,Психологические детерминанты управления персоналом в современной кризисной коммерческой организации,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,7,Никольченко Татьяна Алексеевна,Панамарева Олеся Николаевна,Акмеология
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/gosudarstvennoe-upravlenie-otraslevoy-nedvizhimostyu,0,2024.0,Государственное управление отраслевой недвижимостью,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,8,Кудж Станислав Алексеевич,Панамарева Олеся Николаевна,E-Management
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/analiticheskoe-obosnovanie-vybora-kriteriev-effektivnosti-i-znachimyh-faktorov-uspeha-vnedreniya-proektnogo-upravleniya,0,2024.0,АНАЛИТИЧЕСКОЕ ОБОСНОВАНИЕ ВЫБОРА КРИТЕРИЕВ ЭФФЕКТИВНОСТИ И ЗНАЧИМЫХ ФАКТОРОВ УСПЕХА ВНЕДРЕНИЯ ПРОЕКТНОГО УПРАВЛЕНИЯ,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,9,Н. А. Чернуха,Панамарева Олеся Николаевна,Вестник Академии знаний
Критерии эффективности управления организацией как социальной системой,cyberleninka,/article/n/otsenka-effektivnosti-meropriyatiy-po-sovershenstvovaniyu-sistemy-upravleniya-personalom,0,2016.0,ОЦЕНКА ЭФФЕКТИВНОСТИ МЕРОПРИЯТИЙ ПО СОВЕРШЕНСТВОВАНИЮ СИСТЕМЫ УПРАВЛЕНИЯ ПЕРСОНАЛОМ,/article/n/kriterii-effektivnosti-upravleniya-organizatsiey-kak-sotsialnoy-sistemoy,10,Марченко Н. В.,Панамарева Олеся Николаевна,Вестник Сибирского государственного университета путей сообщения
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,1,2012.0,Концепция оценки сбалансированности кругооборота капитала в современных условиях,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,1,Соляник Григорий Павлович,Соляник Григорий Павлович,"Общество: политика, экономика, право"
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/kontseptsiya-otsenki-resursnoy-sbalansirovannosti-proizvodstva,0,2012.0,Концепция оценки ресурсной сбалансированности производства,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,2,Соляник Григорий Павлович,Соляник Григорий Павлович,"Общество: политика, экономика, право"
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/keynsianskiy-analiz-formirovaniya-sberezheniy-v-sovremennyh-ekonomikah,0,2014.0,Кейнсианский анализ формирования сбережений в современных экономиках,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,3,Рудяков Василий Анатольевич,Соляник Григорий Павлович,Ученые записки Санкт-Петербургского университета технологий управления и экономики
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/analiz-sbalansirovannosti-pokazateley-razvitiya-organizatsii-v-strukturnom-i-vremennom-aspektah,0,2009.0,Анализ сбалансированности показателей развития организации в структурном и временном аспектах,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,4,Фомин В. П.,Соляник Григорий Павлович,Экономический анализ: теория и практика
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/usloviya-dinamicheskogo-sostoyaniya-sbalansirovannosti-rynochnogo-segmenta-natsionalnoy-finansovo-ekonomicheskoy-sistemy,0,2017.0,Условия динамического состояния сбалансированности рыночного сегмента национальной финансово-экономической системы,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,5,Чувелева Елена Анатольевна,Соляник Григорий Павлович,Известия Дальневосточного федерального университета. Экономика и управление
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/formirovanie-strategii-upravleniya-amortizatsionnym-resursom-predpriyatiya,0,2014.0,Формирование стратегии управления амортизационным ресурсом предприятия,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,6,Егорова Н. Н.,Соляник Григорий Павлович,Новый университет. Серия «Экономика и право»
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/primenenie-mirovogo-opyta-analiza-i-prognozirovaniya-pokazateley-v-deyatelnosti-torgovyh-organizatsiy-pridnestrovya,0,2015.0,ПРИМЕНЕНИЕ МИРОВОГО ОПЫТА АНАЛИЗА И ПРОГНОЗИРОВАНИЯ ПОКАЗАТЕЛЕЙ В ДЕЯТЕЛЬНОСТИ ТОРГОВЫХ ОРГАНИЗАЦИЙ ПРИДНЕСТРОВЬЯ,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,7,Муравьева Наталья Юрьевна,Соляник Григорий Павлович,Национальная ассоциация ученых
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/finansovo-ekonomicheskoe-neravnovesie-prichina-i-spetsifika-proyavleniya,0,2018.0,Финансово-экономическое неравновесие: причина и специфика проявления,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,8,Чувелева Елена Анатольевна,Соляник Григорий Павлович,Национальная безопасность / nota bene
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/reproduktivnyy-trud-kak-instrument-rosta-natsionalnoy-ekonomiki,0,2013.0,Репродуктивный труд как инструмент роста национальной экономики,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,9,Великая Е. Г.,Соляник Григорий Павлович,Национальные интересы: приоритеты и безопасность
Концепция оценки сбалансированности кругооборота капитала в современных условиях,cyberleninka,/article/n/ustoychivost-ekonomicheskogo-razvitiya-regiona-teoreticheskie-osnovy-i-metodologiya-otsenki,0,2013.0,Устойчивость экономического развития региона: теоретические основы и методология оценки,/article/n/kontseptsiya-otsenki-sbalansirovannosti-krugooborota-kapitala-v-sovremennyh-usloviyah,10,Лебедефф-Донской М. М.,Соляник Григорий Павлович,Экономика и управление в XXI веке: тенденции развития
Материальная и духовная природа правовых систем,cyberleninka,/article/n/materialnaya-i-duhovnaya-priroda-pravovyh-sistem,1,2012.0,Материальная и духовная природа правовых систем,/article/n/materialnaya-i-duhovnaya-priroda-pravovyh-sistem,1,Пугина Ольга Андреевна,Пугина Ольга Андреевна,Юридическая наука
Материальная и духовная природа правовых систем,cyberleninka,/article/n/ponyatie-i-grazhdansko-pravovye-aspekty-kulturnoy-deyatelnosti-v-rossiyskoy-federatsii,0,2020.0,ПОНЯТИЕ И ГРАЖДАНСКО-ПРАВОВЫЕ АСПЕКТЫ КУЛЬТУРНОЙ ДЕЯТЕЛЬНОСТИ В РОССИЙСКОЙ ФЕДЕРАЦИИ,/article/n/materialnaya-i-duhovnaya-priroda-pravovyh-sistem,2,Севостьянов Максим Владимирович,Пугина Ольга Андреевна,Legal Concept
Материальная и духовная природа правовых систем,cyberleninka,/article/n/stanovlenie-edinoy-sistemy-publichnoy-vlasti-v-sssr-v-1920-1930-e-gody,0,2022.0,СТАНОВЛЕНИЕ ЕДИНОЙ СИСТЕМЫ ПУБЛИЧНОЙ ВЛАСТИ В СССР В 1920-1930-Е ГОДЫ,/article/n/materialnaya-i-duhovnaya-priroda-pravovyh-sistem,3,Мигущенко Олег Николаевич,Пугина Ольга Андреевна,Историко-правовые проблемы: новый ракурс
Материальная и духовная природа правовых систем,cyberleninka,/article/n/proishozhdenie-kontseptsii-prav-cheloveka-i-ideya-liberalnogo-gosudarstva,0,2019.0,Происхождение концепции прав человека и идея либерального государства,/article/n/materialnaya-i-duhovnaya-priroda-pravovyh-sistem,4,Грачев Николай Иванович,Пугина Ольга Андреевна,Вестник Саратовской государственной юридической академии
Материальная и духовная природа правовых систем,cyberleninka,/article/n/metodologicheskie-osnovaniya-mnogoaspektnogo-podhoda-k-ponimaniyu-prava-i-ego-znachenie-dlya-yuridicheskoy-praktiki,0,2019.0,Методологические основания многоаспектного подхода к пониманию права и его значение для юридической практики,/article/n/materialnaya-i-duhovnaya-priroda-pravovyh-sistem,5,Попов В. И.,Пугина Ольга Андреевна,Lex Russica
Материальная и духовная природа правовых систем,cyberleninka,/article/n/po-spravedlivosti-o-yuridicheskoy-spravedlivosti,0,2015.0,ПО СПРАВЕДЛИВОСТИ О ЮРИДИЧЕСКОЙ СПРАВЕДЛИВОСТИ,/article/n/materialnaya-i-duhovnaya-priroda-pravovyh-sistem,6,Сырых В. М.,Пугина Ольга Андреевна,Правовая политика и правовая жизнь
